y,x,sector,init_beta,half_life,pvalue
WDC,MU,UNKNOWN,0.29270186146305527,9,0.0030238823871736676
WDC,QCOM,UNKNOWN,0.2521803212982321,10,0.047617036325889914
PNC,TFC,UNKNOWN,5.074849184945461,9,0.06530130255503627
SNPS,AMAT,UNKNOWN,1.2094534505709962,10,0.09666025224744806
SNPS,LRCX,UNKNOWN,3.021851578993886,6,0.011364097056138889
SO,DUK,UNKNOWN,0.9269472403614715,7,0.02290653799500836
SO,AEP,UNKNOWN,1.0192589871849944,13,0.057187675786049934
TDG,GE,UNKNOWN,3.6997497485967012,9,0.035506732666815456
DUK,AEP,UNKNOWN,1.0833356343739902,13,0.04499603013195249
KKR,BX,UNKNOWN,0.9423707638856769,12,0.03881562351703578
EOG,XOM,UNKNOWN,0.8826702310464373,9,0.03712229339821267
NXPI,QCOM,UNKNOWN,0.9415286819444417,7,0.04313913257051343
AMAT,NXPI,UNKNOWN,1.0502283348216515,6,0.007190010512312415
C,WFC,UNKNOWN,0.6896941601206966,10,0.07031162386549651
GS,JPM,UNKNOWN,3.040148886265393,9,0.06786094302534154
ANET,AVGO,UNKNOWN,0.49533656300787504,10,0.06788891109834239
BLK,BX,UNKNOWN,4.287754723057415,9,0.039988908558207865
