symbol,sector
SPY,INDEX
ADBE,Computer Software
AMD,Semiconductors
ABNB,Diversified Commercial Services
ALNY,Biotechnology
GOOGL,Computer Software
GOOG,Computer Software
AMZN,Catalog/Specialty Distribution
AEP,Electric Utilities
AMGN,Biotechnology
ADI,Semiconductors
AAPL,Computer Manufacturing
AMAT,Semiconductors
APP,Computer Software
ARM,Semiconductors
ASML,Industrial Machinery
TEAM,Computer Software
ADSK,Computer Software
ADP,Diversified Commercial Services
AXON,Ordnance & Accessories
BKR,Oil Equipment & Services
BKNG,Transportation Services
AVGO,Semiconductors
CDNS,Computer Software
CHTR,Cable & Other Pay Television Services
CTAS,Garments & Clothing
CSCO,Computer Communications Equipment
CCEP,Soft Drinks
CTSH,EDP Services
CMCSA,Cable & Other Pay Television Services
CEG,Electric Utilities
CPRT,Retail
CSGP,Real Estate
COST,Department/Specialty Retail Stores
CRWD,Computer Software
CSX,Railroads
DDOG,Computer Software
DXCM,Medical/Dental Instruments
FANG,Oil & Gas Production
DASH,EDP Services
EA,Miscellaneous Amusement & Recreation Services
EXC,Power Generation
FAST,Construction & Materials
FER,Military, Government, Technical
FTNT,Computer Peripheral Equipment
GEHC,Medical Electronics
GILD,Biotechnology
HON,Aerospace
IDXX,Biotechnology
INSM,Biotechnology
INTC,Semiconductors
INTU,Computer Software
ISRG,Industrial Specialties
KDP,Soft Drinks
KLAC,Electronic Components
KHC,Packaged Foods
LRCX,Industrial Machinery
LIN,Major Chemicals
MAR,Hotels/Resorts
MRVL,Semiconductors
MELI,Catalog/Specialty Distribution
META,Computer Software
MCHP,Semiconductors
MU,Semiconductors
MSFT,Computer Software
MSTR,Computer Software
MDLZ,Packaged Foods
MPWR,Semiconductors
MNST,Soft Drinks
NFLX,Consumer Electronics
NVDA,Semiconductors
NXPI,Semiconductors
ORLY,Auto & Home Supply Stores
ODFL,Trucking Freight/Courier Services
PCAR,Motor Vehicles
PLTR,Computer Software
PANW,Computer Peripheral Equipment
PAYX,Diversified Commercial Services
PYPL,Diversified Commercial Services
PDD,EDP Services
PEP,Soft Drinks
QCOM,Broadcasting & Communications Equipment
REGN,Biotechnology
ROP,Computer Software
ROST,Clothing/Shoe/Accessory Stores
STX,Electronic Components
SHOP,Computer Software
SBUX,Restaurants
SNPS,Computer Software
TMUS,Telecommunications Service Providers
TTWO,Miscellaneous Amusement & Recreation Services
TSLA,Automobiles & Parts
TXN,Semiconductors
TRI,Computer Software
VRSK,Diversified Commercial Services
VRTX,Biotechnology
WMT,Department/Specialty Retail Stores
WBD,Miscellaneous Amusement & Recreation Services
WDC,Electronic Components
WDAY,EDP Services
XEL,Power Generation
ZS,EDP Services
