symbol,sector
SPY,INDEX
AAPL,UNKNOWN
MSFT,UNKNOWN
AMZN,UNKNOWN
META,UNKNOWN
GOOGL,UNKNOWN
NVDA,UNKNOWN
JPM,UNKNOWN
JNJ,UNKNOWN
XOM,UNKNOWN
BRK-B,UNKNOWN
V,UNKNOWN
UNH,UNKNOWN
PG,UNKNOWN
MA,UNKNOWN
HD,UNKNOWN
CVX,UNKNOWN
ABBV,UNKNOWN
KO,UNKNOWN
PEP,UNKNOWN
COST,UNKNOWN
AVGO,UNKNOWN
ADBE,UNKNOWN
WMT,UNKNOWN
DIS,UNKNOWN
NFLX,UNKNOWN
CSCO,UNKNOWN
ORCL,UNKNOWN
INTC,UNKNOWN
QCOM,UNKNOWN
CRM,UNKNOWN
ACN,UNKNOWN
TXN,UNKNOWN
MCD,UNKNOWN
NKE,UNKNOWN
LIN,UNKNOWN
PM,UNKNOWN
T,UNKNOWN
VZ,UNKNOWN
CAT,UNKNOWN
UPS,UNKNOWN
HON,UNKNOWN
IBM,UNKNOWN
GE,UNKNOWN
BA,UNKNOWN
UNP,UNKNOWN
LOW,UNKNOWN
RTX,UNKNOWN
GS,UNKNOWN
SPGI,UNKNOWN
